                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-macos-20.12.2"                                 "CRMATH"                               "20240302"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              surface_he3                              surface_n14                             surface_ne20                             surface_mg24                                       pp                                      cno                                 tri_alfa                                 delta_nu                                   nu_max                        v_div_csound_surf                              num_retries 
                                       2                  2.1999999999999999E-005                  1.0000000000000000E+000                 -4.9208187539523749E+000                  3.3298505910360667E+001                 -1.2120707274713329E+001                                      699                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2430508916336621E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2430508916336621E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801271858506718E+000                 -8.4122044947285346E+001                 -9.8999999999999986E+001                 -5.0801271858506718E+000                  3.6575463597521134E+000                  1.4110050396985574E+000                  1.4952856493036851E-001                  2.8232472382545493E-001                  3.8734181796522233E+000                  7.4716785576685925E+003                  6.6082952672601305E+000                  9.4718939883944878E-002                  1.4827503256159607E+001                  7.1384726796085055E-002                  6.2124065876910728E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  6.9999999999999996E-001                  2.7997020236474907E-001                  3.4468833607861371E-003                  9.3805276451495410E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                  2.9797635251138469E-005                  1.0103427409336059E-003                  2.0850244238750362E-003                  4.0772218292556761E-003                 -5.0801271859025885E+000                 -1.5002605960315563E+001                 -8.4122044947285346E+001                  5.1639030325109971E+001                  9.5233610598251425E+002                 -8.6982172111234393E-002                                        0 
                                       3                  3.6400000000000004E-005                  1.0000000000000000E+000                 -4.8416375079047498E+000                  3.3298505910360667E+001                 -1.2062996732924269E+001                                      702                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430509046291229E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430509046291229E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801272620126712E+000                 -8.4122049197713224E+001                 -9.8999999999999986E+001                 -5.0801272620126712E+000                  3.6554776353488476E+000                  1.3843492048342281E+000                  1.4124565558531169E-001                  2.8232071795945818E-001                  3.8734261913842167E+000                  7.4718163941845805E+003                  6.6082952839251252E+000                  9.4718965128922472E-002                  1.4827503298188075E+001                  7.1384725440037003E-002                  6.2124065875873968E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  6.9999999999999996E-001                  2.7997020236474907E-001                  3.4468833607861366E-003                  9.3805276451495410E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                  2.9797635251138465E-005                  1.0103427409336061E-003                  2.0850244238750362E-003                  4.0772218292556769E-003                 -5.0801272620645879E+000                 -1.5002608736505818E+001                 -8.4122049197713224E+001                  5.1646739029273959E+001                  9.5462460522253275E+002                 -4.0848496970504102E-003                                        0 
                                       4                  5.3680000000000008E-005                  1.0000000000000000E+000                 -4.7624562618571247E+000                  3.3298505910360667E+001                 -1.2071283648135323E+001                                      702                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430509271302844E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430509271302844E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801273291880564E+000                 -8.4122052113590144E+001                 -2.0293948446095037E+001                 -5.0801273291880555E+000                  3.6552066157990928E+000                  1.3808923830024131E+000                  1.4015983405339033E-001                  2.8231984629300672E-001                  3.8734279347171197E+000                  7.4718463874035870E+003                  6.6082952978339957E+000                  9.4718986199419222E-002                  1.4827503333266341E+001                  7.1384724308292374E-002                  6.2124065875008661E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  6.9999999999999996E-001                  2.7997020236474907E-001                  3.4468833607861358E-003                  9.3805276451495410E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                  2.9797635251138459E-005                  1.0103427409336061E-003                  2.0850244238750362E-003                  4.0772218292556769E-003                 -5.0801273292399722E+000                 -1.5002610955047787E+001                 -8.4122052113590144E+001                  5.1648166709505084E+001                  9.5492634955932340E+002                 -7.4123513304835871E-004                                        0 
                                       5                  7.4416000000000014E-005                  1.0000000000000000E+000                 -4.6832750158095005E+000                  3.3298505910360667E+001                 -1.2072370341333695E+001                                      702                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430509610379092E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430509610379092E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801273912719944E+000                 -8.4122054261514791E+001                 -9.8999999999999986E+001                 -5.0801273912719944E+000                  3.6550943646055858E+000                  1.3794620390932075E+000                  1.3970975379006115E-001                  2.8231930854835596E-001                  3.8734290102064213E+000                  7.4718648907489833E+003                  6.6082953101197868E+000                  9.4719004811793572E-002                  1.4827503364251854E+001                  7.1384723308652531E-002                  6.2124065874244350E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  6.9999999999999984E-001                  2.7997020236474901E-001                  3.4468833607861353E-003                  9.3805276451495393E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                  2.9797635251138455E-005                  1.0103427409336059E-003                  2.0850244238750358E-003                  4.0772218292556761E-003                 -5.0801273913239102E+000                 -1.5002612830433204E+001                 -8.4122054261514791E+001                  5.1648957160098604E+001                  9.5505213154350110E+002                 -3.8117765429405379E-004                                        0 
                                       6                  9.9299200000000013E-005                  1.0000000000000000E+000                 -4.6040937697618753E+000                  3.3298505910360667E+001                 -1.2072820959341675E+001                                      701                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430510091364670E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430510091364670E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801274503422293E+000                 -8.4122055913204079E+001                 -9.8999999999999986E+001                 -5.0801274503422293E+000                  3.6550131057276940E+000                  1.3784272267945987E+000                  1.3938384274080978E-001                  2.8231887077951434E-001                  3.8734298857441045E+000                  7.4718799540439195E+003                  6.6082953213595177E+000                  9.4719021840127884E-002                  1.4827503392599839E+001                  7.1384722394163755E-002                  6.2124065873545098E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  6.9999999999999996E-001                  2.7997020236474901E-001                  3.4468833607861353E-003                  9.3805276451495410E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                  2.9797635251138455E-005                  1.0103427409336061E-003                  2.0850244238750366E-003                  4.0772218292556769E-003                 -5.0801274503941443E+000                 -1.5002614471258385E+001                 -8.4122055913204079E+001                  5.1649575672828348E+001                  9.5514340903436550E+002                 -2.5864654876273888E-004                                        0 
                                       7                  1.2915904000000000E-004                  1.0000000000000000E+000                 -4.5249125237142502E+000                  3.3298505910360667E+001                 -1.2073147308159768E+001                                      701                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430510752736535E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430510752736535E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801275076113432E+000                 -8.4122057217509678E+001                 -2.0470039705150718E+001                 -5.0801275076113432E+000                  3.6549493879219410E+000                  1.3776161808797542E+000                  1.3912823517340056E-001                  2.8231850260731545E-001                  3.8734306220885020E+000                  7.4718926225944970E+003                  6.6082953318841220E+000                  9.4719037785830851E-002                  1.4827503419144975E+001                  7.1384721537902832E-002                  6.2124065872890366E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861353E-003                  9.3805276451495393E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                  2.9797635251138452E-005                  1.0103427409336059E-003                  2.0850244238750362E-003                  4.0772218292556761E-003                 -5.0801275076632582E+000                 -1.5002615939142844E+001                 -8.4122057217509678E+001                  5.1650080361863495E+001                  9.5521509841852549E+002                 -1.8130222944665741E-004                                        0 
                                       8                  1.6499084799999998E-004                  1.0000000000000000E+000                 -4.4457312776666260E+000                  3.3298505910360667E+001                 -1.2073403283899376E+001                                      701                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430511646113775E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430511646113775E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801275638401044E+000                 -8.4122058263987583E+001                 -9.8999999999999986E+001                 -5.0801275638401044E+000                  3.6548989577909476E+000                  1.3769744827908901E+000                  1.3892589226433727E-001                  2.8231819141477021E-001                  3.8734312444735925E+000                  7.4719033305313724E+003                  6.6082953418999955E+000                  9.4719052961671393E-002                  1.4827503444407888E+001                  7.1384720723080955E-002                  6.2124065872267253E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  6.9999999999999996E-001                  2.7997020236474901E-001                  3.4468833607861349E-003                  9.3805276451495376E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                  2.9797635251138452E-005                  1.0103427409336061E-003                  2.0850244238750358E-003                  4.0772218292556761E-003                 -5.0801275638920194E+000                 -1.5002617271985093E+001                 -8.4122058263987583E+001                  5.1650494353092178E+001                  9.5527192865261975E+002                 -1.2771917200069970E-004                                        0 
                                       9                  2.0798901759999997E-004                  1.0000000000000000E+000                 -4.3665500316190009E+000                  3.3298505910360667E+001                 -1.2073605938000984E+001                                      701                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430512839149709E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430512839149709E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801276195265679E+000                 -8.4122059110355920E+001                 -9.8999999999999986E+001                 -5.0801276195265679E+000                  3.6548589821577715E+000                  1.3764659194415474E+000                  1.3876546296385175E-001                  2.8231792803087918E-001                  3.8734317712413748E+000                  7.4719123934149620E+003                  6.6082953515435090E+000                  9.4719067574367960E-002                  1.4827503468732658E+001                  7.1384719938609287E-002                  6.2124065871667333E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861349E-003                  9.3805276451495393E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                  2.9797635251138452E-005                  1.0103427409336059E-003                  2.0850244238750362E-003                  4.0772218292556769E-003                 -5.0801276195784828E+000                 -1.5002618494449592E+001                 -8.4122059110355920E+001                  5.1650834201655840E+001                  9.5531705349359402E+002                 -9.0090363370430709E-005                                        0 
                                      10                  2.5958682111999997E-004                  1.0000000000000000E+000                 -4.2873687855713758E+000                  3.3298505910360667E+001                 -1.2073766630685361E+001                                      701                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430514419874632E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.2430514419874632E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801276749954170E+000                 -8.4122059795842901E+001                 -2.0470039705150718E+001                 -5.0801276749954170E+000                  3.6548273138528979E+000                  1.3760630838165753E+000                  1.3863834401972333E-001                  2.8231770516856358E-001                  3.8734322169660058E+000                  7.4719200619837411E+003                  6.6082953609070705E+000                  9.4719081764027838E-002                  1.4827503492352440E+001                  7.1384719176975045E-002                  6.2124065871084833E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  6.9999999999999996E-001                  2.7997020236474901E-001                  3.4468833607861349E-003                  9.3805276451495410E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                  2.9797635251138452E-005                  1.0103427409336061E-003                  2.0850244238750358E-003                  4.0772218292556761E-003                 -5.0801276750473319E+000                 -1.5002619623214873E+001                 -8.4122059795842901E+001                  5.1651112900262326E+001                  9.5535286499095685E+002                 -6.3529818262607622E-005                                        0 
