                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-macos-20.12.2"                                 "CRMATH"                               "20240302"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       2                                      699                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2120707274713329E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2430508916336621E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2430508916336621E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801271878885395E+000                 -8.4122044965477230E+001                 -9.8999999999999986E+001                 -5.0801271878885395E+000                 -5.0801271879404561E+000                 -1.5002605967256446E+001                 -8.4122044965477230E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6430651612125722E+000                  9.1746697717027120E-002                  2.8239618729786625E-001                  3.8732752527074004E+000                  5.9859134498552412E-007                  1.4827503255590951E+001                  9.4718939542383848E-002                  6.6082952670346380E+000                  6.2124065876924761E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861366E-003                  9.3805276451495410E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        5 
                                       3                                      704                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2120707136665199E+001                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430509046289572E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430509046289572E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801272641579276E+000                 -8.4122049216809245E+001                 -9.8999999999999986E+001                 -5.0801272641579276E+000                 -5.0801272642098434E+000                 -1.5002608743779753E+001                 -8.4122049216809245E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6431295942017994E+000                  9.2004595769503414E-002                  2.8239627034565046E-001                  3.8732750866118320E+000                  8.5651317166637934E-005                  1.4827503297588645E+001                  9.4718964768901778E-002                  6.6082952836874052E+000                  6.2124065875888757E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861366E-003                  9.3805276451495410E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        3 
                                       4                                      703                  5.3680000000000008E-005                 -4.7624562618571247E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2120449155564938E+001                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430509271309620E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430509271309620E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801273313371293E+000                 -8.4122052132683720E+001                 -9.8999999999999986E+001                 -5.0801273313371293E+000                 -5.0801273313890452E+000                 -1.5002610962188342E+001                 -8.4122052132683720E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6431327710343591E+000                  9.2017297977600040E-002                  2.8239626778457882E-001                  3.8732750917339756E+000                 -2.1987908951387450E-006                  1.4827503332658258E+001                  9.4718985834235520E-002                  6.6082952975928144E+000                  6.2124065875023660E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861366E-003                  9.3805276451495410E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        2 
                                       5                                      703                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2120436455917913E+001                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430509610437745E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430509610437745E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801273934346867E+000                 -8.4122054280796306E+001                 -2.0771069700814699E+001                 -5.0801273934346867E+000                 -5.0801273934866025E+000                 -1.5002612837711206E+001                 -8.4122054280796306E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6431311989280273E+000                  9.2010997443965570E-002                  2.8239626173042609E-001                  3.8732751038422810E+000                 -4.3336763776598546E-006                  1.4827503363644896E+001                  9.4719004447309824E-002                  6.6082953098790211E+000                  6.2124065874259327E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861366E-003                  9.3805276451495393E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                                        0                                        3 
                                       6                                      702                  9.9299200000000013E-005                 -4.6040937697618753E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2120442762505702E+001                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430510091248370E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430510091248370E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801274525104958E+000                 -8.4122055932518450E+001                 -2.0470039705150718E+001                 -5.0801274525104958E+000                 -5.0801274525624116E+000                 -1.5002614478555953E+001                 -8.4122055932518450E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6431299475367602E+000                  9.2005982971830866E-002                  2.8239625727689183E-001                  3.8732751127493494E+000                 -2.6557340755951849E-006                  1.4827503391991748E+001                  9.4719021474996404E-002                  6.6082953211182760E+000                  6.2124065873560108E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861362E-003                  9.3805276451495410E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        2 
                                       7                                      702                  1.2915904000000000E-004                 -4.5249125237142502E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2120447781431370E+001                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430510752738148E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430510752738148E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801275097874017E+000                 -8.4122057236860556E+001                 -9.8999999999999986E+001                 -5.0801275097874017E+000                 -5.0801275098393166E+000                 -1.5002615946488891E+001                 -8.4122057236860556E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6431291095650575E+000                  9.2002624768476191E-002                  2.8239625411862063E-001                  3.8732751190658918E+000                 -1.5685271852893388E-006                  1.4827503418537088E+001                  9.4719037420852498E-002                  6.6082953316429336E+000                  6.2124065872905365E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861362E-003                  9.3805276451495393E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                                        0                                        3 
                                       8                                      702                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2120451142792996E+001                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430511646054847E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430511646054847E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801275660225222E+000                 -8.4122058283363828E+001                 -9.8999999999999986E+001                 -5.0801275660225222E+000                 -5.0801275660744372E+000                 -1.5002617279370444E+001                 -8.4122058283363828E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6431285344521278E+000                  9.2000319731961405E-002                  2.8239625182622136E-001                  3.8732751236506902E+000                 -9.4785501567687900E-007                  1.4827503443800127E+001                  9.4719052596798622E-002                  6.6082953416588195E+000                  6.2124065872282286E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861362E-003                  9.3805276451495393E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                                        0                                        3 
                                       9                                      702                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2120453450121909E+001                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430512839086194E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430512839086194E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801276217121414E+000                 -8.4122059129741984E+001                 -9.8999999999999986E+001                 -5.0801276217121414E+000                 -5.0801276217640563E+000                 -1.5002618501844609E+001                 -8.4122059129741984E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6431281261992186E+000                  9.1998683339955173E-002                  2.8239625013603764E-001                  3.8732751270310577E+000                 -5.8150346707765825E-007                  1.4827503468123984E+001                  9.4719067208979296E-002                  6.6082953513019440E+000                  6.2124065871682366E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861362E-003                  9.3805276451495393E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                                        0                                        4 
                                      10                                      702                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -1.2120455088204100E+001                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430514419972217E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999917024995E-001                  1.2430514419972217E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0801276771859909E+000                 -8.4122059815260755E+001                 -9.8999999999999986E+001                 -5.0801276771859909E+000                 -5.0801276772379058E+000                 -1.5002619630643570E+001                 -8.4122059815260755E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6431278292679732E+000                  9.1997493119173226E-002                  2.8239624888813775E-001                  3.8732751295268573E+000                 -3.5690857369973799E-007                  1.4827503491743608E+001                  9.4719081398586424E-002                  6.6082953606653980E+000                  6.2124065871099854E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861362E-003                  9.3805276451495410E-003                  7.0000000000000073E-001                  2.7997020236474890E-001                                        0                                        4 
