x,r
.00,0.11046
.40,.11122
.50,.11166
.60,.11283
.70,.11219
0.8,.11357
.90,.11442
1.0,.11538
1.1,.11646
1.20,.11766
1.30,.11898
1.40,.12044
1.50,.12203
1.60,.12377
1.70,.12566
1.80,.12771
1.90,.12993
2.00,0.13233
2.10,.13492
2.20,.13770
2.30,.14070
2.40,.14392
2.50,.14737
2.60,.15107
2.70,.15504
2.80,.15928
2.90,.16382
3.00,.16867
3.1,.17386
3.2,.17940
3.30,.18531
3.40,.19162
3.50,.19835
3.60,.20552
3.70,.21317
3.80,.22132
3.90,.23000
4.00,.23925
4.10,.24909
4.20,.25958
4.30,.27073
4.4,.28261
4.5,.29524
4.60,.30868
4.70,.32298
4.80,.33818
4.90,.35435
5.00,.37154
5.05,.38054
5.10,.38982
5.15,.39938
5.20,.40924
5.25,.41940
5.30,.42987
5.35,.44066
5.40,.45179
5.45,.46326
5.50,.47508
5.55,.48727
5.60,.49983
5.65,.51277
5.70,.52611
5.75,.53986
5.80,.55403
5.85,.56863
5.90,.58367
5.95,.59917
6.00,.61514
6.05,.63159
6.10,.64854
6.15,.66601
6.20,.68402
6.25,.70258
6.30,.72170
6.35,.74139
6.40,.76168
6.45,.78259
6.50,.80413
6.55,.82633
6.60,.84921
6.65,.87278
6.70,.89706
6.75,.92207
6.80,0.94784
















































































